Date,Symbol,Prev Close,Open,High,Prev Low,Prev high,Previous VWAP,Previous Volume,Previous Percentage,PreviousValue change,Previous Nifty 50,Previous Nifty 100,Previous Sensex,Buy Don?t buy
6/1/2011,RELIANCE,938.85,952,955.9,937.3,951.85,949.45,3219213,1.37,13,5561.05,5499.8,18527.12,YES
6/2/2011,RELIANCE,951.85,936.55,958.65,943.65,946.8,947.83,1838452,-0.53,-5.05,5529.9,5478.4,18425.85,NO
6/3/2011,RELIANCE,946.8,960.5,954.7,936.55,951.05,947.09,2152963,0.45,4.25,5565.7,5498.55,18554.4,YES
6/6/2011,RELIANCE,951.05,934.65,967,931.5,934.6,951.69,4368279,-1.76,-16.45,5504.3,5442.15,18344.27,NO
6/7/2011,RELIANCE,934.6,933.55,940.8,928.15,937.75,935.29,1405741,0.34,3.15,5509.15,5445.55,18355.3,NO
6/8/2011,RELIANCE,937.75,955.25,960,933.55,958.25,950.55,4025919,2.14,20.5,5535.25,5473.7,18448.4,YES
6/9/2011,RELIANCE,958.25,947.5,955.95,943.95,949.2,948.28,3247038,-0.95,-9.05,5523.55,5463.1,18394.57,NO
6/10/2011,RELIANCE,949.2,955.1,957.85,947,954,953.65,2092020,0.5,4.8,5518.05,5456.15,18390.41,YES
6/13/2011,RELIANCE,954,943.25,956,932.05,944.5,942.51,2530136,-1.01,-9.5,5469.85,5411.45,18242.25,NO
6/14/2011,RELIANCE,944.5,925.3,943.25,921,925.6,926.27,2954066,-2.04,-18.9,5485.6,5425.45,18276.78,NO
6/15/2011,RELIANCE,925.6,912,931.75,910,911.35,915.92,4335560,-1.56,-14.25,5494.45,5436.35,18298.59,NO
6/16/2011,RELIANCE,911.35,901,918.9,898.6,900.55,906.48,4607486,-1.2,-10.8,5419.65,5366.25,18060.11,NO
6/17/2011,RELIANCE,900.55,891.3,901,884.1,887.55,890.99,5707528,-1.46,-13,5412.5,5352.05,18060.17,NO
6/20/2011,RELIANCE,887.55,875,893.3,865.2,868.75,874.93,5035618,-2.16,-18.8,5372.2,5312.75,17925.17,NO
6/21/2011,RELIANCE,868.75,839.9,875,828.1,833.25,847.35,6926078,-4.26,-35.5,5280.8,5221.55,17574.37,NO
6/22/2011,RELIANCE,833.25,853.35,855,837.3,848.65,848.14,3980489,1.81,15.4,5304.65,5238.75,17659.37,YES
6/23/2011,RELIANCE,848.65,846.55,858.15,834.15,845.8,842.78,4596259,-0.34,-2.85,5269.1,5203.4,17526.92,NO
6/24/2011,RELIANCE,845.8,874.15,872.7,845.9,870.5,863.74,4734842,2.84,24.7,5343.4,5265.85,17804.94,YES
6/27/2011,RELIANCE,870.5,866.7,879.7,855.6,871.4,866.87,7239303,0.1,0.9,5441.2,5364.7,18132.7,NO
